"Location","iso3code","sex_ratio_linkedin_overall_unfiltered","sex_ratio_ilostat_prof_tech_unfiltered","sex_ratio_ilostat_total_management_unfiltered","sex_ratio_ilostat_senior_middle_management_unfiltered","sex_ratio_linkedin_overall_filtered","sex_ratio_ilostat_prof_tech_filtered","sex_ratio_ilostat_total_management_filtered","sex_ratio_ilostat_senior_middle_management_filtered","audience_counts_satisfy_observation_filter","sex_ratio_edu_ict","sex_ratio_edu_stem","sex_ratio_labour_force_part","iws_int_pentr","educ_attn_gg_subindex_raw","enrol_sec_educ_gg_raw","labr_force_gg_raw","enrol_ter_educ_gg_raw","hdi_fem","hdi_male","hdi_tot","econ_opp_gg_subindex_raw","gdp_capita_2020_recent","li_pen_labor_force_proftech_female_male","li_pen_labor_force_proftech_sex_ratio","Internet.Online.model.prediction","Group_18-24","Group_25-34","Group_35-54","sex_ratio_Age_18-24","sex_ratio_Age_25-34","sex_ratio_Age_35-54","sex_ratio_Age_55+","sex_ratio_Age_18-24_25-34","sex_ratio_Age_18-24_35-54","sex_ratio_Age_18-24_55+","sex_ratio_Age_25-34_35-54","sex_ratio_Age_25-34_55+","sex_ratio_Age_35-54_55+","sex_ratio_Age_18-24_25-34_35-54","sex_ratio_Age_18-24_25-34_55+","sex_ratio_Age_18-24_35-54_55+","sex_ratio_Age_25-34_35-54_55+","sex_ratio_Age_18-24_25-34_35-54_55+","sex_ratio_Company industry_M.Professional,scientificandtechnicalactivities","sex_ratio_Company industry_H.Transportationandstorage","sex_ratio_Company industry_Q.Humanhealthandsocialworkactivities","sex_ratio_Company industry_R.Arts,entertainmentandrecreation","sex_ratio_Company industry_G.Wholesaleandretailtrade;repairofmotorvehiclesandmotorcycles","sex_ratio_Company industry_C.Manufacturing","sex_ratio_Company industry_K.Financialandinsuranceactivities","sex_ratio_Company industry_J.Informationandcommunication","sex_ratio_Company industry_F.Construction","sex_ratio_Company industry_N.Administrativeandsupportserviceactivities","sex_ratio_Company industry_S.Otherserviceactivities","sex_ratio_Company industry_P.Education","sex_ratio_Company industry_O.Publicadministrationanddefence;compulsorysocialsecurity","sex_ratio_Company industry_I.Accommodationandfoodserviceactivities","sex_ratio_Company industry_B.Miningandquarrying","sex_ratio_Job seniority_ChiefXOfficer(CxO)","sex_ratio_Job seniority_Director","sex_ratio_Job seniority_Entry-level","sex_ratio_Job seniority_Manager","sex_ratio_Job seniority_Owner","sex_ratio_Job seniority_Senior","sex_ratio_Job seniority_Training","sex_ratio_Job seniority_VicePresident(VP)"
"Afghanistan","AFG",0.206666666666667,0.213283442469598,0.0416666666666667,0.044932079414838,0.206666666666667,0.213283442469598,0.0416666666666667,0.044932079414838,TRUE,NA,NA,0.289311545673721,0.176,NA,NA,NA,NA,0.36399999,0.583,0.498,NA,2293.55168387905,0.465176047288615,0.968976608187134,0.568,0.304015296367113,0.37093690248566,0.286806883365201,0.223076923076923,0.2125,0.153846153846154,0,0.217241379310345,0.188461538461538,0.193333333333333,0.186206896551724,0.188888888888889,0.133333333333333,0.197619047619048,0.203225806451613,0.175,0.174193548387097,0.188636363636364,0.100260416666667,0.204379562043796,0.168350168350168,0,0.101827676240209,0.0584269662921348,0.2,0.197368421052632,0.102956167176351,0,0.218055555555556,0.236111111111111,0.185388127853881,NA,0,0.142105263157895,0.194,0.205,0.18,0.191666666666667,0.185714285714286,0.236363636363636,0.165217391304348
"Aland Islands","ALA",0.572727272727273,NA,NA,NA,0.572727272727273,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328063241106719,0.357707509881423,0.314229249011858,0.66,0.508333333333333,0.59,NA,0.577272727272727,0.625,0.66,0.545454545454545,0.508333333333333,0.59,0.58125,0.577272727272727,0.625,0.545454545454545,0.58125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,0.6875,NA,NA
"Albania","ALB",0.985074626865672,1.1885014137606,0.517450682852807,0.703577512776831,0.985074626865672,1.1885014137606,0.517450682852807,0.703577512776831,TRUE,0.776416647866257,0.874536872234004,0.723400960198235,0.65799999,0.99000001,0.98000002,0.68000001,1.41,0.77200001,0.796,0.78500003,0.67000002,14495.0785140737,0.572782084409991,0.828837572644312,0.75,0.394765071872989,0.418365157691483,0.169491525423729,1.19047619047619,1.29411764705882,0.837209302325581,NA,1.24260355029586,1.07086614173228,1.085776330076,1.140625,1.18152524167562,0.704500978473581,1.16037735849057,1.18577075098814,1.00666173205033,1.07274063188832,1.11767378464334,0.964015151515151,0.794520547945205,1.71287128712871,0.654255319148936,0.648401826484018,0.517587939698492,1.41025641025641,0.817375886524823,0.444015444015444,NA,1.46268656716418,1.54421768707483,1.16071428571429,0.472972972972973,0.571428571428571,0.463636363636364,0.842105263157895,1,0.666666666666667,0.476470588235294,1.12359550561798,1.38983050847458,0.590361445783133
"Algeria","DZA",0.441558441558442,0.689225677205818,0.091703056768559,NA,0.441558441558442,0.689225677205818,0.091703056768559,NA,TRUE,0.958239370480873,1.39061730520055,0.21646884272997,0.49200001,0.95999998,1.0599999,0.23999999,1.53,0.68000001,0.79100001,0.75400001,0.44,11820.0876836807,0.572341961431371,0.640658722043785,0.763,0.333812949640288,0.448920863309352,0.192805755395683,0.705882352941177,0.591836734693878,0.34,0.133333333333333,0.63855421686747,0.550847457627119,0.649006622516556,0.506756756756757,0.559241706161137,0.31304347826087,0.569444444444444,0.61671469740634,0.525896414342629,0.488745980707395,0.554809843400447,0.450962176509622,0.274863387978142,0.707317073170732,0.388089528377298,0.301507537688442,0.314091412304286,0.587628865979381,0.31998021760633,0.222546419098143,0.369672131147541,0.444736842105263,0.719792438843588,0.422799422799423,0.295588235294118,0.181941309255079,0.198,0.265384615384615,0.39375,0.268292682926829,0.104545454545455,0.466666666666667,0.633802816901408,0.203389830508475
"American Samoa","ASM",0.774193548387097,NA,NA,NA,0.774193548387097,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3125,0.363425925925926,0.324074074074074,0.607142857142857,0.744444444444444,0.794871794871795,NA,0.67816091954023,0.697530864197531,0.607142857142857,0.767857142857143,0.744444444444444,0.794871794871795,0.714285714285714,0.67816091954023,0.697530864197531,0.767857142857143,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846153846153846,NA,NA,0.8,NA,NA
"Andorra","AND",0.8125,NA,NA,NA,0.8125,NA,NA,NA,TRUE,Inf,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232722143864598,0.366713681241185,0.351198871650212,0.701030927835051,1,0.66,NA,0.872246696035242,0.676113360323887,0.515151515151515,0.817857142857143,0.787878787878788,0.535135135135135,0.787798408488064,0.755725190839695,0.592198581560284,0.726984126984127,0.720873786407767,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565217391304348,1.025,0.52,0.447368421052632,0.769230769230769,NA,NA
"Angola","AGO",0.366666666666667,0.475092936802974,0.242236024844721,NA,0.366666666666667,0.475092936802974,0.242236024844721,NA,TRUE,0.611859936463705,0.623794170449025,0.964896717779749,0.223,0.77999997,0.81,0.77999997,0.80000001,NA,NA,0.58099997,0.56999999,6929.67815844764,0.482190860215054,0.771778821074596,0.793,0.400372439478585,0.437616387337058,0.145251396648045,0.387096774193548,0.424242424242424,0.3,0,0.40625,0.362790697674419,0.365853658536585,0.391111111111111,0.402298850574713,0.260869565217391,0.389473684210526,0.395136778115502,0.348214285714286,0.376068376068376,0.380462724935733,0.278592375366569,0.109722222222222,0.785714285714286,0.194581280788177,0.32983682983683,0.0437580437580438,0.527777777777778,0.197217180883243,0.1875,0.427154843630816,0.331103678929766,0.410485933503836,0.261044176706827,0.347560975609756,0.213541666666667,0.178260869565217,0.242857142857143,0.327586206896552,0.261538461538462,0.188461538461538,0.324324324324324,0.34,0.221739130434783
"Anguilla","AIA",0.795454545454545,1,NA,NA,0.795454545454545,1,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64285714285714,0.795454545454545,NA,0,0.663716814159292,0.336283185840708,NA,NA,NA,NA,NA,NA,NA,0.486842105263158,NA,NA,0.486842105263158,NA,NA,0.486842105263158,0.486842105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,1,NA,NA
"Antarctica","ATA",0.48,NA,NA,NA,0.48,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262295081967213,0.344262295081967,0.39344262295082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481818181818182,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",1,1.08333333333333,0.821493624772313,NA,1,1.08333333333333,0.821493624772313,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22816.4522023563,2.93333333333333,0.923076923076923,NA,0.234501347708895,0.38544474393531,0.380053908355795,NA,0.986111111111111,0.88,NA,1.14953271028037,1.07272727272727,NA,0.931972789115646,0.986111111111111,0.88,1.03846153846154,1.14953271028037,1.07272727272727,0.931972789115646,1.03846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08333333333333,0.755813953488372,NA,1.33333333333333,NA,NA
